Date,StockName,CurrentPrice,Sector,MarketCap,Volume,PERatio,DividendYield,Momentum,Volatility,RelativeStrength,MarketMovementClass
2023-01-01,TechnologyStock1,207.07,Technology,15212996269.34,602671.9,12.02,0.0125,1.58,0.0767,2.06,7
2023-01-02,TechnologyStock1,221.57,Technology,18481255426.72,220215.72,13.18,0.0147,0.24,0.1913,43.19,7
2023-01-03,TechnologyStock1,217.14,Technology,13369751450.93,148098.92,18.15,0.0293,1.47,0.0226,19.97,2
2023-01-04,TechnologyStock1,217.14,Technology,12951898000.12,55985.91,32.34,0.0136,-0.6,0.0292,68.42,4
2023-01-05,TechnologyStock1,217.14,Technology,2840514141.22,500225.14,6.55,0.0727,0.82,0.1221,31.17,4
2023-01-06,TechnologyStock1,217.14,Technology,11969421668.08,193005.91,48.63,0.062,0.74,0.0171,8.85,4
2023-01-07,TechnologyStock1,212.79,Technology,1165570451.84,332077.03,22.49,0.0217,-0.46,0.1057,28.09,2
2023-01-08,TechnologyStock1,212.79,Technology,3181564491.07,804175.01,8.35,0.079,-0.68,0.0612,0.55,4
2023-01-09,TechnologyStock1,214.92,Technology,15254799846.83,731717.1,39.71,0.0059,-0.84,0.0309,86.31,5
2023-01-10,TechnologyStock1,214.92,Technology,7255473065.53,72922.77,18.99,0.026,0.81,0.1356,88.72,4
2023-01-11,TechnologyStock1,214.92,Technology,2759539882.71,716112.34,39.24,0.0449,-0.04,0.1565,52.27,4
2023-01-12,TechnologyStock1,214.92,Technology,755765763.97,116812.51,6.41,0.0509,0.09,0.1988,90.76,4
2023-01-13,TechnologyStock1,210.62,Technology,8767748139.64,757995.63,15.3,0.0062,-0.81,0.0502,92.97,2
2023-01-14,TechnologyStock1,212.73,Technology,13552262401.56,872745.98,41.17,0.0149,0.1,0.0969,80.74,5
2023-01-15,TechnologyStock1,214.86,Technology,6979006047.23,118951.41,15.26,0.0342,0.3,0.0261,0.7,5
2023-01-16,TechnologyStock1,214.86,Technology,9093471931.88,229886.73,10.39,0.027,-0.16,0.0404,51.88,4
2023-01-17,TechnologyStock1,214.86,Technology,7949504877.87,972064.26,48.31,0.0201,-1.92,0.0027,28.48,4
2023-01-18,TechnologyStock1,199.82,Technology,12258054960.32,507652.23,7.32,0.0223,-0.19,0.0302,14.49,1
2023-01-19,TechnologyStock1,199.82,Technology,19697690522.33,249634.72,35.25,0.0609,0.79,0.0909,36.78,4
2023-01-20,TechnologyStock1,199.82,Technology,12732131667.26,540416.94,9.06,0.0668,-0.99,0.0566,4.08,4
2023-01-21,TechnologyStock1,199.82,Technology,13603213418.51,26421.95,28.04,0.0181,-1.06,0.0474,69.09,4
2023-01-22,TechnologyStock1,199.82,Technology,18729958892.73,146145.73,20.35,0.0091,0.81,0.1231,81.72,4
2023-01-23,TechnologyStock1,199.82,Technology,10677222309.47,249433.77,9.19,0.0718,0.26,0.0782,33.9,4
2023-01-24,TechnologyStock1,199.82,Technology,14560477576.33,898139.16,44.92,0.0624,-0.68,0.0232,16.16,4
2023-01-25,TechnologyStock1,201.81,Technology,12317994135.9,19105.08,9.57,0.0531,1.87,0.0474,65.2,5
