UserID,Age_Group,Income_Level,Primary_Financial_Goal,Risk_Tolerance,Stocks,Bonds,Real Estate,Mutual Funds,ETFs,Cryptocurrency,Recommended_Strategy
1,46-55,High,Short-term Savings,Conservative,7,18,42,21,7,5,Low-Risk Preservation
2,56-65,Medium-High,Retirement,Aggressive,61,15,12,10,0,2,High-Risk Aggressive
3,36-45,Medium,Home Purchase,Moderate-Aggressive,45,9,36,8,1,1,Aggressive Growth
4,56-65,Low,Wealth Accumulation,Moderate-Aggressive,12,57,6,23,0,2,Aggressive Growth
5,56-65,Medium,Home Purchase,Conservative,54,11,24,2,3,6,Low-Risk Preservation
6,26-35,Medium,Home Purchase,Balanced,35,65,0,0,0,0,Balanced Growth
7,36-45,High,Retirement,Moderate-Conservative,34,21,0,37,6,2,Conservative Growth
8,36-45,Medium-High,Retirement,Moderate-Aggressive,41,19,13,2,6,19,Aggressive Growth
9,36-45,Medium-Low,Retirement,Aggressive,49,48,1,2,0,0,High-Risk Aggressive
10,56-65,Medium-High,Retirement,Aggressive,93,1,0,5,0,1,High-Risk Aggressive
11,46-55,Medium-High,Short-term Savings,Balanced,80,7,8,4,1,0,Balanced Growth
12,36-45,Medium,Retirement,Moderate-Aggressive,96,1,1,0,0,2,Aggressive Growth
13,65+,Medium-High,Short-term Savings,Conservative,76,14,2,0,0,8,Low-Risk Preservation
14,56-65,Low,Short-term Savings,Aggressive,96,3,0,1,0,0,High-Risk Aggressive
15,26-35,Medium,Retirement,Balanced,38,37,17,8,0,0,Balanced Growth
16,46-55,Low,Education,Moderate-Aggressive,76,19,5,0,0,0,Aggressive Growth
17,65+,Medium-Low,Wealth Accumulation,Moderate-Aggressive,31,48,17,3,0,1,Aggressive Growth
18,65+,Medium,Home Purchase,Moderate-Aggressive,83,15,0,1,1,0,Aggressive Growth
19,26-35,Medium-Low,Short-term Savings,Moderate-Aggressive,60,24,14,2,0,0,Aggressive Growth
