Age_Group,Income_Level,Primary_Financial_Goal,Risk_Tolerance,Stocks,Bonds,Real Estate,Mutual Funds,ETFs,Cryptocurrency,Recommended_Strategy
46-55,0-50k,Retirement,Moderate-Conservative,0.9581114498357339,0.41490850745443375,0.3574153920053251,0.10233263204862375,0.06595224425671953,0.9859254602712038,Balanced Growth
65+,150k+,Education,Balanced,0.7380535248513644,0.09694621976382689,0.7332216111952066,0.023448034229579973,0.16434310228633853,0.12360910126543811,Conservative Growth
56-65,50k-100k,Retirement,Conservative,0.7207152254177329,0.08015548670274797,0.2609774636762039,0.03087971996554617,0.8485934904599582,0.7533277374492996,Balanced Growth
56-65,150k+,Home Purchase,Moderate-Aggressive,0.44678042557688735,0.8452196602499437,0.8298648050668205,0.006185817687824224,0.2242136735533714,0.8489643281133372,Balanced Growth
18-25,0-50k,Retirement,Moderate-Aggressive,0.9659609289753182,0.6399527159817824,0.9673994613300038,0.2677676582662363,0.019515198211800255,0.21402822650847053,Aggressive Growth
65+,0-50k,Home Purchase,Conservative,0.5734483589829122,0.8507782078602919,0.25943145465404693,0.2956399901505852,0.023228527488385664,0.050033760066500954,Balanced Growth
26-35,50k-100k,Debt Reduction,Conservative,0.5133794394185717,0.5254872041369983,0.7074972919694119,0.5043844321482268,0.8726050102595203,0.5529688314932142,High-Risk Aggressive
36-45,50k-100k,Debt Reduction,Aggressive,0.5443814105377007,0.9264425627535358,0.12872991887549146,0.6565475597851829,0.12669349038942357,0.32723434863197165,Conservative Growth
26-35,0-50k,Debt Reduction,Aggressive,0.3331680521587028,0.24390490647961338,0.3290294093306345,0.7018552804288704,0.6905136695116875,0.9838520758207576,High-Risk Aggressive
26-35,100k-150k,Wealth Accumulation,Moderate-Aggressive,0.05482394614484454,0.0585784754301415,0.46642115623768476,0.5700362664165659,0.8336972970570452,0.6404808483933347,Aggressive Growth
46-55,50k-100k,Home Purchase,Balanced,0.3109380290578193,0.5418388314635356,0.43258794156132807,0.7583026903219242,0.29853787027874257,0.3139081425779999,Aggressive Growth
36-45,150k+,Debt Reduction,Balanced,0.3734877788449986,0.8789295398189312,0.6300954091352782,0.17304854844697048,0.288790988300881,0.3973446415316495,Low-Risk Preservation
36-45,0-50k,Retirement,Aggressive,0.5940340130088988,0.7299825210233729,0.6325215931949013,0.26985734708040565,0.2750863793085523,0.762942456574037,High-Risk Aggressive
46-55,150k+,Retirement,Aggressive,0.20344104937504293,0.11869838871972449,0.9524745669736278,0.4948279637997641,0.21732315316633077,0.5316046507962068,Conservative Growth
46-55,100k-150k,Wealth Accumulation,Conservative,0.5099042672372301,0.5512132905937752,0.5463579229913097,0.04635517487335761,0.9471888339603709,0.9522250706855274,Conservative Growth
36-45,100k-150k,Education,Balanced,0.8043389064693295,0.5389892771188008,0.3173183058305482,0.5886341087146407,0.8702043378782913,0.5095394233883915,Aggressive Growth
18-25,50k-100k,Debt Reduction,Conservative,0.2660028120620068,0.23687512165479396,0.6777183313456127,0.6988744063341417,0.46638809964369266,0.7433582349876122,Conservative Growth
36-45,0-50k,Debt Reduction,Moderate-Conservative,0.16377831601573756,0.46470462944655944,0.4473948283470107,0.08586826440041018,0.8270887562447432,0.7422255408041729,Aggressive Growth
18-25,0-50k,Retirement,Moderate-Conservative,0.7959162085127012,0.7322859827269531,0.09743364698951595,0.7630946952209261,0.36082893436486363,0.798711689566273,Low-Risk Preservation
65+,50k-100k,Retirement,Conservative,0.2990026449737635,0.958330159944197,0.0439120913758515,0.5707117162980493,0.07894833588869365,0.7611335479095119,Conservative Growth
18-25,150k+,Debt Reduction,Moderate-Aggressive,0.30299627586184985,0.12386896313972529,0.5290864525559971,0.4810405602764667,0.8499145866332406,0.8376459199445452,High-Risk Aggressive
18-25,50k-100k,Education,Conservative,0.23402049941567638,0.387773791430468,0.8280020026481235,0.02890839559084979,0.5767584690196806,0.10337304995240415,Low-Risk Preservation
65+,150k+,Education,Balanced,0.3830588733116309,0.40476637657015835,0.16717943470474372,0.7014803705398134,0.622385322248976,0.039852718954111466,Balanced Growth
18-25,0-50k,Education,Moderate-Conservative,0.0856123624964632,0.6603629828235048,0.7651895541353592,0.8355686019070392,0.08296710610781977,0.4311084613187306,Aggressive Growth
18-25,0-50k,Debt Reduction,Moderate-Conservative,0.6011120659425745,0.4689483188186002,0.26475922524758844,0.5870754748037141,0.10334388615716028,0.4160385488577333,Balanced Growth
46-55,150k+,Education,Conservative,0.7942711494675487,0.21288811597371737,0.810999348543302,0.1322869299043976,0.7716411708790875,0.6559316159043678,Low-Risk Preservation
36-45,100k-150k,Wealth Accumulation,Moderate-Conservative,0.8106094789287682,0.5886974587617402,0.3223540998534302,0.6457925691625938,0.5142532577781797,0.5160072926924284,High-Risk Aggressive
26-35,100k-150k,Debt Reduction,Moderate-Aggressive,0.3710527651910259,0.4120315230865905,0.098177143208377,0.6193569231144452,0.8822130466215505,0.8144823516591666,High-Risk Aggressive
46-55,150k+,Debt Reduction,Aggressive,0.9200005022331215,0.050133989306217264,0.8530588267705411,0.5155460022599538,0.003802768338212359,0.11776642547651062,Low-Risk Preservation
65+,100k-150k,Wealth Accumulation,Aggressive,0.18621579286272294,0.18377646151279847,0.2828952663231997,0.6236302766455807,0.08845567828428702,0.4341191659706862,Low-Risk Preservation
36-45,50k-100k,Home Purchase,Aggressive,0.23364869464544458,0.6126316954959166,0.9387232485766868,0.2663012600811594,0.3231738012446578,0.9750788287003862,High-Risk Aggressive
65+,150k+,Retirement,Moderate-Conservative,0.19907293139020166,0.42373632649765314,0.4151432537177221,0.9417750769530929,0.05170112447550734,0.9266078199552232,Conservative Growth
36-45,0-50k,Retirement,Moderate-Conservative,0.7794185159065766,0.4044245683230422,0.2351457278766388,0.5278611546622974,0.059442861519449885,0.36564257817579404,Low-Risk Preservation
18-25,0-50k,Wealth Accumulation,Moderate-Aggressive,0.9149659617506043,0.5921593654807431,0.9212257702149775,0.4861347477115656,0.7381498956014111,0.9757829531260205,High-Risk Aggressive
36-45,50k-100k,Education,Balanced,0.041378633176556656,0.286587384595951,0.6102468706372017,0.43416063670564553,0.7537604131380613,0.6834713536855287,Aggressive Growth
26-35,100k-150k,Wealth Accumulation,Moderate-Conservative,0.08868319781342737,0.8072023738774665,0.8437887744259575,0.5433186523347214,0.9532314410077188,0.9155170962651632,Balanced Growth
36-45,150k+,Debt Reduction,Aggressive,0.31128195438837436,0.2301553449868564,0.9274742339357255,0.5075688412923492,0.708403353159064,0.008773693775301461,Aggressive Growth
18-25,50k-100k,Debt Reduction,Moderate-Conservative,0.7807187012630802,0.36464696766324867,0.17605129514625262,0.0941611622174332,0.8488081872323192,0.05138840890502483,Aggressive Growth
56-65,150k+,Retirement,Conservative,0.3253338448811942,0.7130213368498942,0.9998159332311086,0.43253416225950814,0.23145144108332072,0.09024968826245738,High-Risk Aggressive
36-45,100k-150k,Debt Reduction,Aggressive,0.8557495651750536,0.39013436227843523,0.05384302236110805,0.14741868568907723,0.5513480967697203,0.025618238558000384,Aggressive Growth
36-45,0-50k,Retirement,Moderate-Conservative,0.20102681318260263,0.8644290778723476,0.36792707446945094,0.31636972407142083,0.5610615837425662,0.3578871982400297,Balanced Growth
18-25,150k+,Wealth Accumulation,Moderate-Conservative,0.07072540516845371,0.6764428821545396,0.6928615109083852,0.31988658730500386,0.2235719572131344,0.04095140511414497,High-Risk Aggressive
56-65,100k-150k,Education,Moderate-Aggressive,0.3883131717664581,0.8101159838669825,0.4460260831033389,0.12173942324302689,0.8305932006096286,0.7394387659335804,Balanced Growth
36-45,50k-100k,Wealth Accumulation,Balanced,0.10009520722204646,0.030514166226339512,0.673647807252558,0.38659094869774846,0.37116400099268565,0.3166972637600336,Low-Risk Preservation
56-65,100k-150k,Home Purchase,Aggressive,0.46077183447253856,0.7743569005989236,0.17746570586589694,0.5907100792414124,0.4774424547589119,0.17089264740306465,Aggressive Growth
26-35,0-50k,Wealth Accumulation,Conservative,0.06687923182377842,0.41345098585825313,0.9315293370060408,0.3099578707772155,0.335203992124383,0.6652455879448301,Aggressive Growth
36-45,150k+,Debt Reduction,Moderate-Aggressive,0.5931297342175165,0.49677053062734433,0.9313806145444049,0.4498236840656257,0.8705915173966894,0.05796470221879113,Conservative Growth
46-55,50k-100k,Retirement,Balanced,0.36628178333877426,0.7918602303642833,0.9408366489728046,0.9616886551286363,0.5358384544002512,0.929099033698759,Aggressive Growth
36-45,100k-150k,Retirement,Aggressive,0.6826184585943316,0.2559118100860005,0.03914690628341666,0.48042099639309543,0.508520027364429,0.9065963113800485,Conservative Growth
26-35,0-50k,Wealth Accumulation,Balanced,0.4964318513727677,0.31427631070060513,0.4935304050767513,0.6871490294604503,0.6134797569486676,0.939585818490628,High-Risk Aggressive
